id: 1, arrivalTime: Aug 27 03:22:41 CDT 2017, serviceDuration: 40, priority: 2, serviceStartTime: Aug 27 03:22:41 CDT 2017, serviceEndTime: Aug 27 04:02:41 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 2, arrivalTime: Aug 27 05:19:35 CDT 2017, serviceDuration: 30, priority: 3, serviceStartTime: Aug 27 05:19:35 CDT 2017, serviceEndTime: Aug 27 05:49:35 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 3, arrivalTime: Aug 27 07:34:27 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 07:34:27 CDT 2017, serviceEndTime: Aug 27 08:54:27 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 4, arrivalTime: Aug 27 09:48:07 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 09:48:07 CDT 2017, serviceEndTime: Aug 27 11:18:07 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 5, arrivalTime: Aug 27 10:36:25 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 10:36:25 CDT 2017, serviceEndTime: Aug 27 12:06:25 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 6, arrivalTime: Aug 27 10:51:50 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 27 11:18:07 CDT 2017, serviceEndTime: Aug 27 13:53:07 CDT 2017, timeInQueue: 00:26:17, timeInSystem: 03:01:17
id: 7, arrivalTime: Aug 27 13:46:01 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 13:46:01 CDT 2017, serviceEndTime: Aug 27 15:06:01 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 8, arrivalTime: Aug 27 17:44:53 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 27 17:44:53 CDT 2017, serviceEndTime: Aug 27 18:34:53 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:50:00
id: 9, arrivalTime: Aug 27 19:42:28 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 19:42:28 CDT 2017, serviceEndTime: Aug 27 21:12:28 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 10, arrivalTime: Aug 27 20:11:23 CDT 2017, serviceDuration: 30, priority: 3, serviceStartTime: Aug 27 20:11:23 CDT 2017, serviceEndTime: Aug 27 20:41:23 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 11, arrivalTime: Aug 27 20:18:44 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 27 20:41:23 CDT 2017, serviceEndTime: Aug 27 21:41:23 CDT 2017, timeInQueue: 00:22:39, timeInSystem: 01:22:39
id: 12, arrivalTime: Aug 27 20:52:11 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 21:12:28 CDT 2017, serviceEndTime: Aug 27 22:32:28 CDT 2017, timeInQueue: 00:20:17, timeInSystem: 01:40:17
id: 14, arrivalTime: Aug 27 21:49:08 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 27 22:16:15 CDT 2017, serviceEndTime: Aug 27 23:06:15 CDT 2017, timeInQueue: 00:27:07, timeInSystem: 01:17:07
id: 13, arrivalTime: Aug 27 22:16:15 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 27 22:32:28 CDT 2017, serviceEndTime: Aug 28 01:07:28 CDT 2017, timeInQueue: 00:16:13, timeInSystem: 02:51:13
id: 15, arrivalTime: Aug 27 23:28:15 CDT 2017, serviceDuration: 40, priority: 2, serviceStartTime: Aug 27 23:28:15 CDT 2017, serviceEndTime: Aug 28 00:08:15 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 16, arrivalTime: Aug 27 23:28:23 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 00:08:15 CDT 2017, serviceEndTime: Aug 28 01:48:15 CDT 2017, timeInQueue: 00:39:52, timeInSystem: 02:19:52
id: 17, arrivalTime: Aug 27 23:52:24 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 01:07:28 CDT 2017, serviceEndTime: Aug 28 02:47:28 CDT 2017, timeInQueue: 01:15:04, timeInSystem: 02:55:04
id: 18, arrivalTime: Aug 27 23:54:11 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 01:48:15 CDT 2017, serviceEndTime: Aug 28 03:28:15 CDT 2017, timeInQueue: 01:54:04, timeInSystem: 03:34:04
id: 22, arrivalTime: Aug 28 02:01:55 CDT 2017, serviceDuration: 30, priority: 3, serviceStartTime: Aug 28 02:47:28 CDT 2017, serviceEndTime: Aug 28 03:17:28 CDT 2017, timeInQueue: 00:45:33, timeInSystem: 01:15:33
id: 23, arrivalTime: Aug 28 02:03:19 CDT 2017, serviceDuration: 40, priority: 2, serviceStartTime: Aug 28 03:17:28 CDT 2017, serviceEndTime: Aug 28 03:57:28 CDT 2017, timeInQueue: 01:14:09, timeInSystem: 01:54:09
id: 19, arrivalTime: Aug 28 01:57:11 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 03:28:15 CDT 2017, serviceEndTime: Aug 28 04:48:15 CDT 2017, timeInQueue: 01:31:04, timeInSystem: 02:51:04
id: 20, arrivalTime: Aug 28 01:59:36 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 03:57:28 CDT 2017, serviceEndTime: Aug 28 05:27:28 CDT 2017, timeInQueue: 01:57:52, timeInSystem: 03:27:52
id: 21, arrivalTime: Aug 28 02:00:43 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 28 04:48:15 CDT 2017, serviceEndTime: Aug 28 07:23:15 CDT 2017, timeInQueue: 02:47:32, timeInSystem: 05:22:32
id: 24, arrivalTime: Aug 28 02:04:42 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 28 05:27:28 CDT 2017, serviceEndTime: Aug 28 06:17:28 CDT 2017, timeInQueue: 03:22:46, timeInSystem: 04:12:46
id: 25, arrivalTime: Aug 28 02:05:38 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 06:17:28 CDT 2017, serviceEndTime: Aug 28 07:57:28 CDT 2017, timeInQueue: 04:11:50, timeInSystem: 05:51:50
id: 26, arrivalTime: Aug 28 02:06:59 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 07:23:15 CDT 2017, serviceEndTime: Aug 28 08:43:15 CDT 2017, timeInQueue: 05:16:16, timeInSystem: 06:36:16
