id: 1, arrivalTime: Aug 27 03:22:41 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 27 03:22:41 CDT 2017, serviceEndTime: Aug 27 04:02:41 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 2, arrivalTime: Aug 27 05:19:35 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 27 05:19:35 CDT 2017, serviceEndTime: Aug 27 05:49:35 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 3, arrivalTime: Aug 27 07:34:27 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 07:34:27 CDT 2017, serviceEndTime: Aug 27 08:54:27 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 4, arrivalTime: Aug 27 09:48:07 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 09:48:07 CDT 2017, serviceEndTime: Aug 27 11:18:07 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 5, arrivalTime: Aug 27 10:36:25 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 10:36:25 CDT 2017, serviceEndTime: Aug 27 12:06:25 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 6, arrivalTime: Aug 27 10:51:50 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 27 11:18:07 CDT 2017, serviceEndTime: Aug 27 13:53:07 CDT 2017, timeInQueue: 00:26:17, timeInSystem: 03:01:17
id: 7, arrivalTime: Aug 27 13:46:01 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 13:46:01 CDT 2017, serviceEndTime: Aug 27 15:06:01 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 8, arrivalTime: Aug 27 17:44:53 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 27 17:44:53 CDT 2017, serviceEndTime: Aug 27 18:34:53 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:50:00
id: 9, arrivalTime: Aug 27 19:42:28 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 19:42:28 CDT 2017, serviceEndTime: Aug 27 21:12:28 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 10, arrivalTime: Aug 27 20:11:23 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 27 20:11:23 CDT 2017, serviceEndTime: Aug 27 20:41:23 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 11, arrivalTime: Aug 27 20:18:44 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 27 20:41:23 CDT 2017, serviceEndTime: Aug 27 21:41:23 CDT 2017, timeInQueue: 00:22:39, timeInSystem: 01:22:39
id: 12, arrivalTime: Aug 27 20:52:11 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 21:12:28 CDT 2017, serviceEndTime: Aug 27 22:32:28 CDT 2017, timeInQueue: 00:20:17, timeInSystem: 01:40:17
id: 14, arrivalTime: Aug 27 21:49:08 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 27 22:16:15 CDT 2017, serviceEndTime: Aug 27 23:06:15 CDT 2017, timeInQueue: 00:27:07, timeInSystem: 01:17:07
id: 13, arrivalTime: Aug 27 22:16:15 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 27 22:32:28 CDT 2017, serviceEndTime: Aug 28 01:07:28 CDT 2017, timeInQueue: 00:16:13, timeInSystem: 02:51:13
id: 15, arrivalTime: Aug 27 23:28:15 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 27 23:28:15 CDT 2017, serviceEndTime: Aug 28 00:08:15 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 16, arrivalTime: Aug 27 23:28:23 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 00:08:15 CDT 2017, serviceEndTime: Aug 28 01:48:15 CDT 2017, timeInQueue: 00:39:52, timeInSystem: 02:19:52
id: 17, arrivalTime: Aug 27 23:52:24 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 01:07:28 CDT 2017, serviceEndTime: Aug 28 02:47:28 CDT 2017, timeInQueue: 01:15:04, timeInSystem: 02:55:04
id: 18, arrivalTime: Aug 27 23:54:11 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 01:48:15 CDT 2017, serviceEndTime: Aug 28 03:28:15 CDT 2017, timeInQueue: 01:54:04, timeInSystem: 03:34:04
id: 1, arrivalTime: Aug 28 01:57:11 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 02:47:28 CDT 2017, serviceEndTime: Aug 28 04:07:28 CDT 2017, timeInQueue: 00:50:17, timeInSystem: 02:10:17
id: 2, arrivalTime: Aug 28 01:59:36 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 03:28:15 CDT 2017, serviceEndTime: Aug 28 04:58:15 CDT 2017, timeInQueue: 01:28:39, timeInSystem: 02:58:39
id: 3, arrivalTime: Aug 28 02:00:43 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 28 04:07:28 CDT 2017, serviceEndTime: Aug 28 06:42:28 CDT 2017, timeInQueue: 02:06:45, timeInSystem: 04:41:45
id: 4, arrivalTime: Aug 28 02:01:55 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 28 04:58:15 CDT 2017, serviceEndTime: Aug 28 05:28:15 CDT 2017, timeInQueue: 02:56:20, timeInSystem: 03:26:20
id: 5, arrivalTime: Aug 28 02:03:19 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 28 05:28:15 CDT 2017, serviceEndTime: Aug 28 06:08:15 CDT 2017, timeInQueue: 03:24:56, timeInSystem: 04:04:56
id: 6, arrivalTime: Aug 28 02:04:42 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 28 06:08:15 CDT 2017, serviceEndTime: Aug 28 06:58:15 CDT 2017, timeInQueue: 04:03:33, timeInSystem: 04:53:33
id: 7, arrivalTime: Aug 28 02:05:38 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 06:42:28 CDT 2017, serviceEndTime: Aug 28 08:22:28 CDT 2017, timeInQueue: 04:36:50, timeInSystem: 06:16:50
id: 8, arrivalTime: Aug 28 02:06:59 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 06:58:15 CDT 2017, serviceEndTime: Aug 28 08:18:15 CDT 2017, timeInQueue: 04:51:16, timeInSystem: 06:11:16
id: 9, arrivalTime: Aug 28 02:07:56 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 08:18:15 CDT 2017, serviceEndTime: Aug 28 09:48:15 CDT 2017, timeInQueue: 06:10:19, timeInSystem: 07:40:19
id: 10, arrivalTime: Aug 28 02:09:55 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 08:22:28 CDT 2017, serviceEndTime: Aug 28 10:02:28 CDT 2017, timeInQueue: 06:12:33, timeInSystem: 07:52:33
id: 11, arrivalTime: Aug 28 02:12:05 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 28 09:48:15 CDT 2017, serviceEndTime: Aug 28 10:48:15 CDT 2017, timeInQueue: 07:36:10, timeInSystem: 08:36:10
id: 12, arrivalTime: Aug 28 02:16:41 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 10:02:28 CDT 2017, serviceEndTime: Aug 28 11:22:28 CDT 2017, timeInQueue: 07:45:47, timeInSystem: 09:05:47
id: 13, arrivalTime: Aug 28 02:20:53 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 10:48:15 CDT 2017, serviceEndTime: Aug 28 12:18:15 CDT 2017, timeInQueue: 08:27:22, timeInSystem: 09:57:22
id: 14, arrivalTime: Aug 28 07:08:58 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 28 11:22:28 CDT 2017, serviceEndTime: Aug 28 13:57:28 CDT 2017, timeInQueue: 04:13:30, timeInSystem: 06:48:30
id: 15, arrivalTime: Aug 28 08:21:58 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 28 12:18:15 CDT 2017, serviceEndTime: Aug 28 12:48:15 CDT 2017, timeInQueue: 03:56:17, timeInSystem: 04:26:17
id: 16, arrivalTime: Aug 28 08:29:56 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 28 12:48:15 CDT 2017, serviceEndTime: Aug 28 13:28:15 CDT 2017, timeInQueue: 04:18:19, timeInSystem: 04:58:19
id: 17, arrivalTime: Aug 28 11:11:01 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 28 13:28:15 CDT 2017, serviceEndTime: Aug 28 14:28:15 CDT 2017, timeInQueue: 02:17:14, timeInSystem: 03:17:14
id: 18, arrivalTime: Aug 28 11:11:01 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 28 13:57:28 CDT 2017, serviceEndTime: Aug 28 14:27:28 CDT 2017, timeInQueue: 02:46:27, timeInSystem: 03:16:27
id: 19, arrivalTime: Aug 28 11:12:48 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 28 14:27:28 CDT 2017, serviceEndTime: Aug 28 15:07:28 CDT 2017, timeInQueue: 03:14:40, timeInSystem: 03:54:40
id: 20, arrivalTime: Aug 28 11:12:48 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 28 14:28:15 CDT 2017, serviceEndTime: Aug 28 15:18:15 CDT 2017, timeInQueue: 03:15:27, timeInSystem: 04:05:27
id: 21, arrivalTime: Aug 28 11:41:13 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 28 15:07:28 CDT 2017, serviceEndTime: Aug 28 15:57:28 CDT 2017, timeInQueue: 03:26:15, timeInSystem: 04:16:15
id: 22, arrivalTime: Aug 28 11:45:12 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 15:18:15 CDT 2017, serviceEndTime: Aug 28 16:58:15 CDT 2017, timeInQueue: 03:33:03, timeInSystem: 05:13:03
id: 23, arrivalTime: Aug 28 12:07:40 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 15:57:28 CDT 2017, serviceEndTime: Aug 28 17:17:28 CDT 2017, timeInQueue: 03:49:48, timeInSystem: 05:09:48
id: 25, arrivalTime: Aug 28 12:15:06 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 16:58:15 CDT 2017, serviceEndTime: Aug 28 18:38:15 CDT 2017, timeInQueue: 04:43:09, timeInSystem: 06:23:09
id: 26, arrivalTime: Aug 28 13:15:25 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 17:17:28 CDT 2017, serviceEndTime: Aug 28 18:37:28 CDT 2017, timeInQueue: 04:02:03, timeInSystem: 05:22:03
id: 27, arrivalTime: Aug 28 13:23:53 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 18:37:28 CDT 2017, serviceEndTime: Aug 28 20:07:28 CDT 2017, timeInQueue: 05:13:35, timeInSystem: 06:43:35
id: 28, arrivalTime: Aug 28 16:06:25 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 18:38:15 CDT 2017, serviceEndTime: Aug 28 20:18:15 CDT 2017, timeInQueue: 02:31:50, timeInSystem: 04:11:50
id: 29, arrivalTime: Aug 28 18:06:27 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 28 20:07:28 CDT 2017, serviceEndTime: Aug 28 21:07:28 CDT 2017, timeInQueue: 02:01:01, timeInSystem: 03:01:01
id: 24, arrivalTime: Aug 28 20:01:41 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 20:18:15 CDT 2017, serviceEndTime: Aug 28 21:48:15 CDT 2017, timeInQueue: 00:16:34, timeInSystem: 01:46:34
id: 30, arrivalTime: Aug 28 21:12:38 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 21:12:38 CDT 2017, serviceEndTime: Aug 28 22:52:38 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:40:00
id: 31, arrivalTime: Aug 28 22:28:23 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 22:28:23 CDT 2017, serviceEndTime: Aug 29 00:08:23 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:40:00
