id: 1, arrivalTime: Aug 27 03:22:41 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 27 03:22:41 CDT 2017, serviceEndTime: Aug 27 04:02:41 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 2, arrivalTime: Aug 27 05:19:35 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 27 05:19:35 CDT 2017, serviceEndTime: Aug 27 05:49:35 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 3, arrivalTime: Aug 27 07:34:27 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 07:34:27 CDT 2017, serviceEndTime: Aug 27 08:54:27 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 4, arrivalTime: Aug 27 09:48:07 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 09:48:07 CDT 2017, serviceEndTime: Aug 27 11:18:07 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 5, arrivalTime: Aug 27 10:36:25 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 10:36:25 CDT 2017, serviceEndTime: Aug 27 12:06:25 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 6, arrivalTime: Aug 27 10:51:50 CDT 2017, serviceDuration: 155, priority: 2, serviceStartTime: Aug 27 11:18:07 CDT 2017, serviceEndTime: Aug 27 13:53:07 CDT 2017, timeInQueue: 00:26:17, timeInSystem: 03:01:17
id: 7, arrivalTime: Aug 27 13:46:01 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 13:46:01 CDT 2017, serviceEndTime: Aug 27 15:06:01 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 8, arrivalTime: Aug 27 17:44:53 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 27 17:44:53 CDT 2017, serviceEndTime: Aug 27 18:34:53 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:50:00
id: 9, arrivalTime: Aug 27 19:42:28 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 27 19:42:28 CDT 2017, serviceEndTime: Aug 27 21:12:28 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 10, arrivalTime: Aug 27 20:11:23 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 27 20:11:23 CDT 2017, serviceEndTime: Aug 27 20:41:23 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 11, arrivalTime: Aug 27 20:18:44 CDT 2017, serviceDuration: 60, priority: 2, serviceStartTime: Aug 27 20:41:23 CDT 2017, serviceEndTime: Aug 27 21:41:23 CDT 2017, timeInQueue: 00:22:39, timeInSystem: 01:22:39
id: 12, arrivalTime: Aug 27 20:52:11 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 27 21:12:28 CDT 2017, serviceEndTime: Aug 27 22:32:28 CDT 2017, timeInQueue: 00:20:17, timeInSystem: 01:40:17
id: 14, arrivalTime: Aug 27 21:49:08 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 27 22:16:15 CDT 2017, serviceEndTime: Aug 27 23:06:15 CDT 2017, timeInQueue: 00:27:07, timeInSystem: 01:17:07
id: 13, arrivalTime: Aug 27 22:16:15 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 27 22:32:28 CDT 2017, serviceEndTime: Aug 28 01:07:28 CDT 2017, timeInQueue: 00:16:13, timeInSystem: 02:51:13
id: 15, arrivalTime: Aug 27 23:28:15 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 27 23:28:15 CDT 2017, serviceEndTime: Aug 28 00:08:15 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 16, arrivalTime: Aug 27 23:28:23 CDT 2017, serviceDuration: 100, priority: 2, serviceStartTime: Aug 28 00:08:15 CDT 2017, serviceEndTime: Aug 28 01:48:15 CDT 2017, timeInQueue: 00:39:52, timeInSystem: 02:19:52
id: 17, arrivalTime: Aug 27 23:52:24 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 01:07:28 CDT 2017, serviceEndTime: Aug 28 02:47:28 CDT 2017, timeInQueue: 01:15:04, timeInSystem: 02:55:04
id: 18, arrivalTime: Aug 27 23:54:11 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 01:48:15 CDT 2017, serviceEndTime: Aug 28 03:28:15 CDT 2017, timeInQueue: 01:54:04, timeInSystem: 03:34:04
id: 1, arrivalTime: Aug 28 01:57:11 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 05:57:28 CDT 2017, serviceEndTime: Aug 28 07:17:28 CDT 2017, timeInQueue: 04:00:17, timeInSystem: 05:20:17
id: 2, arrivalTime: Aug 28 01:59:36 CDT 2017, serviceDuration: 90, priority: 2, serviceStartTime: Aug 28 02:47:28 CDT 2017, serviceEndTime: Aug 28 04:17:28 CDT 2017, timeInQueue: 00:47:52, timeInSystem: 02:17:52
id: 6, arrivalTime: Aug 28 02:04:42 CDT 2017, serviceDuration: 50, priority: 2, serviceStartTime: Aug 28 03:28:15 CDT 2017, serviceEndTime: Aug 28 04:18:15 CDT 2017, timeInQueue: 01:23:33, timeInSystem: 02:13:33
id: 7, arrivalTime: Aug 28 02:05:38 CDT 2017, serviceDuration: 100, priority: 2, serviceStartTime: Aug 28 04:17:28 CDT 2017, serviceEndTime: Aug 28 05:57:28 CDT 2017, timeInQueue: 02:11:50, timeInSystem: 03:51:50
id: 8, arrivalTime: Aug 28 02:06:59 CDT 2017, serviceDuration: 80, priority: 2, serviceStartTime: Aug 28 04:18:15 CDT 2017, serviceEndTime: Aug 28 05:38:15 CDT 2017, timeInQueue: 02:11:16, timeInSystem: 03:31:16
id: 13, arrivalTime: Aug 28 02:20:53 CDT 2017, serviceDuration: 90, priority: 2, serviceStartTime: Aug 28 05:38:15 CDT 2017, serviceEndTime: Aug 28 07:08:15 CDT 2017, timeInQueue: 03:17:22, timeInSystem: 04:47:22
id: 3, arrivalTime: Aug 28 02:00:43 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 28 07:08:15 CDT 2017, serviceEndTime: Aug 28 09:43:15 CDT 2017, timeInQueue: 05:07:32, timeInSystem: 07:42:32
id: 4, arrivalTime: Aug 28 02:01:55 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 28 07:17:28 CDT 2017, serviceEndTime: Aug 28 07:47:28 CDT 2017, timeInQueue: 05:15:33, timeInSystem: 05:45:33
id: 5, arrivalTime: Aug 28 02:03:19 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 28 07:47:28 CDT 2017, serviceEndTime: Aug 28 08:27:28 CDT 2017, timeInQueue: 05:44:09, timeInSystem: 06:24:09
id: 9, arrivalTime: Aug 28 02:07:56 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 08:27:28 CDT 2017, serviceEndTime: Aug 28 09:57:28 CDT 2017, timeInQueue: 06:19:32, timeInSystem: 07:49:32
id: 10, arrivalTime: Aug 28 02:09:55 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 09:57:28 CDT 2017, serviceEndTime: Aug 28 11:37:28 CDT 2017, timeInQueue: 07:47:33, timeInSystem: 09:27:33
id: 11, arrivalTime: Aug 28 02:12:05 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 28 10:23:15 CDT 2017, serviceEndTime: Aug 28 11:23:15 CDT 2017, timeInQueue: 08:11:10, timeInSystem: 09:11:10
id: 12, arrivalTime: Aug 28 02:16:41 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 11:23:15 CDT 2017, serviceEndTime: Aug 28 12:43:15 CDT 2017, timeInQueue: 09:06:34, timeInSystem: 10:26:34
id: 14, arrivalTime: Aug 28 07:08:58 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 28 11:37:28 CDT 2017, serviceEndTime: Aug 28 14:12:28 CDT 2017, timeInQueue: 04:28:30, timeInSystem: 07:03:30
id: 15, arrivalTime: Aug 28 08:21:58 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 28 12:43:15 CDT 2017, serviceEndTime: Aug 28 13:13:15 CDT 2017, timeInQueue: 04:21:17, timeInSystem: 04:51:17
id: 16, arrivalTime: Aug 28 08:29:56 CDT 2017, serviceDuration: 40, priority: 2, serviceStartTime: Aug 28 09:43:15 CDT 2017, serviceEndTime: Aug 28 10:23:15 CDT 2017, timeInQueue: 01:13:19, timeInSystem: 01:53:19
id: 17, arrivalTime: Aug 28 11:11:01 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 28 13:13:15 CDT 2017, serviceEndTime: Aug 28 14:13:15 CDT 2017, timeInQueue: 02:02:14, timeInSystem: 03:02:14
id: 18, arrivalTime: Aug 28 11:11:01 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 28 14:13:15 CDT 2017, serviceEndTime: Aug 28 14:43:15 CDT 2017, timeInQueue: 03:02:14, timeInSystem: 03:32:14
id: 19, arrivalTime: Aug 28 11:12:48 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 28 14:43:15 CDT 2017, serviceEndTime: Aug 28 15:23:15 CDT 2017, timeInQueue: 03:30:27, timeInSystem: 04:10:27
id: 20, arrivalTime: Aug 28 11:12:48 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 28 15:23:15 CDT 2017, serviceEndTime: Aug 28 16:13:15 CDT 2017, timeInQueue: 04:10:27, timeInSystem: 05:00:27
id: 21, arrivalTime: Aug 28 11:41:13 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 28 15:32:28 CDT 2017, serviceEndTime: Aug 28 16:22:28 CDT 2017, timeInQueue: 03:51:15, timeInSystem: 04:41:15
id: 22, arrivalTime: Aug 28 11:45:12 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 16:13:15 CDT 2017, serviceEndTime: Aug 28 17:53:15 CDT 2017, timeInQueue: 04:28:03, timeInSystem: 06:08:03
id: 23, arrivalTime: Aug 28 12:07:40 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 28 16:22:28 CDT 2017, serviceEndTime: Aug 28 17:42:28 CDT 2017, timeInQueue: 04:14:48, timeInSystem: 05:34:48
id: 25, arrivalTime: Aug 28 12:15:06 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 17:42:28 CDT 2017, serviceEndTime: Aug 28 19:22:28 CDT 2017, timeInQueue: 05:27:22, timeInSystem: 07:07:22
id: 26, arrivalTime: Aug 28 13:15:25 CDT 2017, serviceDuration: 80, priority: 2, serviceStartTime: Aug 28 14:12:28 CDT 2017, serviceEndTime: Aug 28 15:32:28 CDT 2017, timeInQueue: 00:57:03, timeInSystem: 02:17:03
id: 27, arrivalTime: Aug 28 13:23:53 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 17:53:15 CDT 2017, serviceEndTime: Aug 28 19:23:15 CDT 2017, timeInQueue: 04:29:22, timeInSystem: 05:59:22
id: 28, arrivalTime: Aug 28 16:06:25 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 19:22:28 CDT 2017, serviceEndTime: Aug 28 21:02:28 CDT 2017, timeInQueue: 03:16:03, timeInSystem: 04:56:03
id: 29, arrivalTime: Aug 28 18:06:27 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 28 19:23:15 CDT 2017, serviceEndTime: Aug 28 20:23:15 CDT 2017, timeInQueue: 01:16:48, timeInSystem: 02:16:48
id: 24, arrivalTime: Aug 28 20:01:41 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 28 20:23:15 CDT 2017, serviceEndTime: Aug 28 21:53:15 CDT 2017, timeInQueue: 00:21:34, timeInSystem: 01:51:34
id: 30, arrivalTime: Aug 28 21:12:38 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 21:12:38 CDT 2017, serviceEndTime: Aug 28 22:52:38 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:40:00
id: 31, arrivalTime: Aug 28 22:28:23 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 28 22:28:23 CDT 2017, serviceEndTime: Aug 29 00:08:23 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:40:00
