id: 1, arrivalTime: Aug 30 00:15:52 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 30 00:15:52 CDT 2017, serviceEndTime: Aug 30 00:45:52 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:30:00
id: 2, arrivalTime: Aug 30 03:29:10 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 30 03:29:10 CDT 2017, serviceEndTime: Aug 30 04:09:10 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:40:00
id: 3, arrivalTime: Aug 30 06:59:32 CDT 2017, serviceDuration: 50, priority: 1, serviceStartTime: Aug 30 06:59:32 CDT 2017, serviceEndTime: Aug 30 07:49:32 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:50:00
id: 4, arrivalTime: Aug 30 07:12:36 CDT 2017, serviceDuration: 100, priority: 2, serviceStartTime: Aug 30 07:12:36 CDT 2017, serviceEndTime: Aug 30 08:52:36 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:40:00
id: 5, arrivalTime: Aug 30 07:18:59 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 30 07:18:59 CDT 2017, serviceEndTime: Aug 30 08:38:59 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 6, arrivalTime: Aug 30 07:31:17 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 30 07:49:32 CDT 2017, serviceEndTime: Aug 30 09:19:32 CDT 2017, timeInQueue: 00:18:15, timeInSystem: 01:48:15
id: 7, arrivalTime: Aug 30 07:45:38 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 30 08:38:59 CDT 2017, serviceEndTime: Aug 30 10:18:59 CDT 2017, timeInQueue: 00:53:21, timeInSystem: 02:33:21
id: 8, arrivalTime: Aug 30 09:51:42 CDT 2017, serviceDuration: 60, priority: 1, serviceStartTime: Aug 30 09:51:42 CDT 2017, serviceEndTime: Aug 30 10:51:42 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:00:00
id: 9, arrivalTime: Aug 30 09:58:51 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 30 09:58:51 CDT 2017, serviceEndTime: Aug 30 11:18:51 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 10, arrivalTime: Aug 30 10:38:22 CDT 2017, serviceDuration: 90, priority: 2, serviceStartTime: Aug 30 10:38:22 CDT 2017, serviceEndTime: Aug 30 12:08:22 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 11, arrivalTime: Aug 30 10:58:30 CDT 2017, serviceDuration: 155, priority: 1, serviceStartTime: Aug 30 10:58:30 CDT 2017, serviceEndTime: Aug 30 13:33:30 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 02:35:00
id: 12, arrivalTime: Aug 30 11:04:18 CDT 2017, serviceDuration: 30, priority: 1, serviceStartTime: Aug 30 11:18:51 CDT 2017, serviceEndTime: Aug 30 11:48:51 CDT 2017, timeInQueue: 00:14:33, timeInSystem: 00:44:33
id: 13, arrivalTime: Aug 30 11:39:33 CDT 2017, serviceDuration: 40, priority: 1, serviceStartTime: Aug 30 11:48:51 CDT 2017, serviceEndTime: Aug 30 12:28:51 CDT 2017, timeInQueue: 00:09:18, timeInSystem: 00:49:18
id: 14, arrivalTime: Aug 30 12:11:32 CDT 2017, serviceDuration: 50, priority: 2, serviceStartTime: Aug 30 12:11:32 CDT 2017, serviceEndTime: Aug 30 13:01:32 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 00:50:00
id: 15, arrivalTime: Aug 30 13:05:24 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 30 13:05:24 CDT 2017, serviceEndTime: Aug 30 14:45:24 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:40:00
id: 16, arrivalTime: Aug 30 13:22:21 CDT 2017, serviceDuration: 80, priority: 1, serviceStartTime: Aug 30 13:22:21 CDT 2017, serviceEndTime: Aug 30 14:42:21 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:20:00
id: 17, arrivalTime: Aug 30 13:52:36 CDT 2017, serviceDuration: 90, priority: 1, serviceStartTime: Aug 30 13:52:36 CDT 2017, serviceEndTime: Aug 30 15:22:36 CDT 2017, timeInQueue: 00:00:00, timeInSystem: 01:30:00
id: 18, arrivalTime: Aug 30 13:53:00 CDT 2017, serviceDuration: 100, priority: 1, serviceStartTime: Aug 30 15:22:36 CDT 2017, serviceEndTime: Aug 30 17:02:36 CDT 2017, timeInQueue: 01:29:36, timeInSystem: 03:09:36
